idx,a_bad,a_new,n_htl,g_lat,g_lng
4786,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
4954,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
5094,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
5141,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
5349,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
5470,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
5477,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
6189,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
6210,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
6246,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
6341,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
6373,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
6452,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
6510,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
6630,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
6807,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
7693,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
7831,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
8085,Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 22 08 Josefstadt 1080 Vienna Austria,Cordial Theaterhotel Wien,48.210893,16.351647
8356,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
8758,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
9589,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
9644,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
9646,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,Savoyenstrasbe 2 16 Ottakring 1160 Vienna Austria,Austria Trend Hotel Schloss Wilhelminenberg Wien,48.231481,16.284042
9706,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
9791,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
10064,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
10156,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
10401,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
10536,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
10637,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
10949,Bail n 4 6 Eixample 08010 Barcelona Spain,Bailen 4 6 Eixample 08010 Barcelona Spain,NH Collection Barcelona Podium,41.391948,2.178032
11042,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
11181,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
11348,Bail n 4 6 Eixample 08010 Barcelona Spain,Bailen 4 6 Eixample 08010 Barcelona Spain,NH Collection Barcelona Podium,41.391948,2.178032
12120,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
12264,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
12381,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
12383,Pau Clar s 122 Eixample 08009 Barcelona Spain,Pau Claris 122 Eixample 08009 Barcelona Spain,Renaissance Barcelona Hotel,41.392967,2.166718
12521,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
12597,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
12860,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
12957,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,Grunentorgasse 30 09 Alsergrund 1090 Vienna Austria,City Hotel Deutschmeister,48.221111,16.366563
13108,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
13163,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
13466,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
13748,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
14126,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
14214,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
14318,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
14358,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
14436,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
14444,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
14552,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
14589,Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 22 08 Josefstadt 1080 Vienna Austria,Cordial Theaterhotel Wien,48.210893,16.351647
14642,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
14765,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
15096,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
15214,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
15229,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
15496,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
15966,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
16005,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
16042,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
16058,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
16573,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
16646,Pau Clar s 122 Eixample 08009 Barcelona Spain,Pau Claris 122 Eixample 08009 Barcelona Spain,Renaissance Barcelona Hotel,41.392967,2.166718
16707,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
17199,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
17389,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
17635,20 Rue De La Ga t 14th arr 75014 Paris France,20 Rue De La Gaite 14th arr 75014 Paris France,Mercure Paris Gare Montparnasse,48.84015,2.323594
18098,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
18368,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
18509,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
18664,Pau Clar s 122 Eixample 08009 Barcelona Spain,Pau Claris 122 Eixample 08009 Barcelona Spain,Renaissance Barcelona Hotel,41.392967,2.166718
18875,Bail n 4 6 Eixample 08010 Barcelona Spain,Bailen 4 6 Eixample 08010 Barcelona Spain,NH Collection Barcelona Podium,41.391948,2.178032
19086,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
19183,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
19341,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
19840,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
20384,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
20500,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
20745,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,Grunentorgasse 30 09 Alsergrund 1090 Vienna Austria,City Hotel Deutschmeister,48.221111,16.366563
20923,Paragonstra e 1 11 Simmering 1110 Vienna Austria,Paragonstrasse 1 11 Simmering 1110 Vienna Austria,Roomz Vienna,48.185056,16.419818
20938,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,Hasenauerstrasse 12 19 Dobling 1190 Vienna Austria,Hotel Park Villa,48.233861,16.345421
21211,Paragonstra e 1 11 Simmering 1110 Vienna Austria,Paragonstrasse 1 11 Simmering 1110 Vienna Austria,Roomz Vienna,48.185056,16.419818
21309,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,Grunentorgasse 30 09 Alsergrund 1090 Vienna Austria,City Hotel Deutschmeister,48.221111,16.366563
21377,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
21387,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
21398,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
21448,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
21793,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
22052,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,Hasenauerstrasse 12 19 Dobling 1190 Vienna Austria,Hotel Park Villa,48.233861,16.345421
22068,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
22166,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
22282,Paragonstra e 1 11 Simmering 1110 Vienna Austria,Paragonstrasse 1 11 Simmering 1110 Vienna Austria,Roomz Vienna,48.185056,16.419818
22512,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
22894,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,Hasenauerstrasse 12 19 Dobling 1190 Vienna Austria,Hotel Park Villa,48.233861,16.345421
22933,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
22946,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,Savoyenstrasbe 2 16 Ottakring 1160 Vienna Austria,Austria Trend Hotel Schloss Wilhelminenberg Wien,48.231481,16.284042
23317,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
23407,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
24919,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
24970,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
25029,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
25089,Bail n 4 6 Eixample 08010 Barcelona Spain,Bailen 4 6 Eixample 08010 Barcelona Spain,NH Collection Barcelona Podium,41.391948,2.178032
25224,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
25271,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
25278,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
25400,4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
25602,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,Hasenauerstrasse 12 19 Dobling 1190 Vienna Austria,Hotel Park Villa,48.233861,16.345421
25660,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
25836,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
25904,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
26277,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
26404,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,Savoyenstrasbe 2 16 Ottakring 1160 Vienna Austria,Austria Trend Hotel Schloss Wilhelminenberg Wien,48.231481,16.284042
26621,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
