idx,old_name,new_name
834,H tel Balzac,Hotel Balzac
844,Staunton Hotel B B,Staunton Hotel B B
855,H tel Horset Op ra Best Western Premier Collection,Hotel Horset Opera Best Western Premier Collection
882,H tel Gustave,Hotel Gustave
888,H tel Mathis Elys es,Hotel Mathis Elysees
896,Hotel Lam e,Hotel Lamee
906,Club Quarters Hotel Lincoln s Inn Fields,Club Quarters Hotel Lincoln`s Inn Fields
907,W London Leicester Square,W London Leicester Square
916,H tel Duo,Hotel Duo
927,H tel R de Paris Boutique Hotel,Hotel R de Paris Boutique Hotel
932,H tel Keppler,Hotel Keppler
935,Le 123 S bastopol Astotel,Le 123 S bastopol Astotel
948,H tel Beauchamps,Hotel Beauchamps
951,H tel Belloy Saint Germain By Happyculture,Hotel Belloy Saint Germain By Happyculture
954,H tel Bel Ami,Hotel Bel Ami
955,Suites H tel Helzear Champs Elys es,Suites Hotel Helzear Champs Elysees
956,H tel L Echiquier Op ra Paris MGallery by Sofitel,Hotel L Echiquier Opera Paris MGallery by Sofitel
957,Fleming s Conference Hotel Wien,Flemings Conference Hotel Wien
959,The Ring Vienna s Casual Luxury Hotel,The Ring Vienna`s Casual Luxury Hotel
961,H tel de Banville,Hotel de Banville
962,H tel Saint Paul Rive Gauche,Hotel Saint Paul Rive Gauche
970,Hotel Tour d Auvergne Opera,Hotel Tour d Auvergne Opera
982,Le M ridien Etoile,Le Meridien Etoile
988,H tel Original Paris,Hotel Original Paris
990,H tel Powers,Hotel Powers
991,Prince de Galles a Luxury Collection hotel Paris,Prince de Galles a Luxury Collection hotel Paris
1006,Mercer House B ria BCN,Mercer House Boria BCN
1010,W Paris Op ra,W Paris Opera
1015,H tel Th r se,Hotel Therese
1016,H tel Monna Lisa Champs Elys es,Hotel Monna Lisa Champs Elys es
1024,H tel Etoile Saint Honor by Happyculture,Hotel Etoile Saint Honor by Happyculture
1029,H tel Fabric,Hotel Fabric
1030,The Westbury A Luxury Collection Hotel Mayfair London,The Westbury A Luxury Collection Hotel Mayfair London
1034,H tel des Ducs D Anjou,Hotel des Ducs D Anjou
1037,H tel des Academies et des Arts,Hotel des Academies et des Arts
1041,Hotel L Antoine,Hotel L Antoine
1046,A La Villa Madame,A La Villa Madame
1047,STRAF a Member of Design Hotels ,STRAF a Member of Design Hotels
1049,Banke H tel,Banke Hotel
1051,Best Western S vres Montparnasse,Best Western S vres Montparnasse
1053,L Empire Paris,L`Empire Paris
1058,H tel Mansart Esprit de France,Hotel Mansart Esprit de France
1061,H tel De Castiglione,Hotel De Castiglione
1069,K K Palais Hotel,K+K Palais Hotel
1080,H tel Le Marianne,Hotel Le Marianne
1084,The Wellesley Knightsbridge a Luxury Collection Hotel London,The Wellesley Knightsbridge a Luxury Collection Hotel London
1088,H tel Barri re Le Fouquet s,Hotel Barriere Le Fouquet`s
1101,Suites H tel Helzear Montparnasse,Suites Hotel Helzear Montparnasse
1105,Villa d Estr es,Villa d`Estrees
1113,Hotel Maison Ath n e,Hotel Maison Athenee
1119,H tel Exquis by Elegancia,Hotel Exquis by Elegancia
1120,Relais H tel du Vieux Paris,Relais Hotel du Vieux Paris
1133,Garden Elys e,Garden Elysee
1135,H tel Baume,Hotel Baume
1142,H tel Chaplain Paris Rive Gauche,Hotel Chaplain Paris Rive Gauche
1147,K K Hotel Picasso,K+K Hotel Picasso
1156,Andaz Amsterdam Prinsengracht A Hyatt Hotel,Andaz Amsterdam Prinsengracht A Hyatt Hotel
1157,Claridge s,Claridge`s
1159,Novotel Paris 14 Porte d Orl ans,Novotel Paris 14 Porte d`Orleans
1165,Hotel Carlton s Montmartre,Hotel Carlton`s Montmartre
1168,Holiday Inn Paris Saint Germain des Pr s,Holiday Inn Paris Saint Germain des Pres
1171,H tel Le Royal Monceau Raffles Paris,Hotel Le Royal Monceau Raffles Paris
1174,H tel Le M,Hotel Le M
1182,H tel La Parizienne by Elegancia,Hotel La Parizienne by Elegancia
1185,H tel Madison by MH,Hotel Madison by MH
1200,B Montmartre,B Montmartre
1205,Hotel D Este,Hotel D Este
1208,H tel Duc De St Simon,Hotel Duc De St Simon
1210,H tel Hor,Hotel Hor
1218,H tel De Vend me,Hotel De Vendome
1222,R Kipling by Happyculture,R Kipling by Happyculture
1225,H tel Le Walt,Hotel Le Walt
1226,H tel Pont Royal,Hotel Pont Royal
1244,H tel Juliana Paris,Hotel Juliana Paris
1255,D clic Hotel,Declic Hotel
1262,De L Europe Amsterdam,De L Europe Amsterdam
1268,Hotel Bristol A Luxury Collection Hotel,Hotel Bristol A Luxury Collection Hotel
1269,H tel Mayfair Paris,Hotel Mayfair Paris
1274,Lyric H tel Paris,Lyric Hotel Paris
1279,Hotel G tico,Hotel Gotico
1280,H tel F licien by Elegancia,Hotel Felicien by Elegancia
1281,L Hotel Pergol se Paris,L Hotel Pergolese Paris
1285,Boutique H tel Konfidentiel,Boutique Hotel Konfidentiel
1291,Four Seasons Hotel George V Paris,Four Seasons Hotel George V Paris
1296,Hotel DO Pla a Reial G L ,Hotel DO Plaza Reial G L
1300,Le A,Le A
1309,H tel de Lille,Hotel de Lille
1315,H tel Cristal Champs Elys es,Hotel Cristal Champs Elysees
1317,Mercure Paris Notre Dame Saint Germain des Pr s,Mercure Paris Notre Dame Saint Germain des Pres
1318,H tel de La Tamise Esprit de France,Hotel de La Tamise Esprit de France
1319,AC Hotel Sants a Marriott Lifestyle Hotel,AC Hotel Sants a Marriott Lifestyle Hotel
1322,H tel Victor Hugo Paris Kl ber,Hotel Victor Hugo Paris Kleber
1323,L H tel,L Hotel
1325,Hotel Crivi s,Hotel Crivi`s
1327,Hotel Imperial A Luxury Collection Hotel,Hotel Imperial A Luxury Collection Hotel
1329,H tel Le Relais Saint Germain,Hotel Le Relais Saint Germain
1331,H tel Amastan Paris,Hotel Amastan Paris
1345,H tel de Varenne,Hotel de Varenne
1347,AC Hotel Milano a Marriott Lifestyle Hotel,AC Hotel Milano a Marriott Lifestyle Hotel
1349,H tel France d Antin Op ra,Hotel France d`Antin Opera
1354,Hotel Bagu s,Hotel Bagues
1359,H tel Ad le Jules,Hotel Adele Jules
1360,H tel Jos phine by Happyculture,Hotel Josephine by Happyculture
1362,H tel Waldorf Trocad ro,Hotel Waldorf Trocadero
1365,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,AC Hotel Victoria Suites a Marriott Lifestyle Hotel
1372,H tel Paris Bastille Boutet MGallery by Sofitel,Hotel Paris Bastille Boutet MGallery by Sofitel
1373,Rocco Forte Brown s Hotel,Rocco Forte Brown`s Hotel
1374,H tel de Jos phine BONAPARTE,Hotel de Josephine BONAPARTE
1378,H tel Lancaster Paris Champs Elys es,Hotel Lancaster Paris Champs Elysees
1381,H tel Saint Marc,Hotel Saint Marc
1382,H tel Regent s Garden,Hotel Regent`s Garden
1388,Le Metropolitan a Tribute Portfolio Hotel,Le Metropolitan a Tribute Portfolio Hotel
1389,H tel Montmartre Mon Amour,Hotel Montmartre Mon Amour
1394,Mercure Paris Gobelins Place d Italie,Mercure Paris Gobelins Place d`Italie
1396,Hotel Le Placide Saint Germain Des Pr s,Hotel Le Placide Saint Germain Des Pres
1398,Hotel J ger,Hotel Jager
1408,H tel Recamier,Hotel Recamier
1428,H tel Thoumieux,Hotel Thoumieux
1432,Mercure Paris Porte d Orleans,Mercure Paris Porte d`Orleans
1439,Maison Albar Hotel Paris C line,Maison Albar Hotel Paris Celine
1443,Goralska R sidences H tel Paris Bastille,Goralska Residences Hotel Paris Bastille
1449,H tel Champs lys es Plaza,Hotel Champs Elysees Plaza
1457,H tel Regina Op ra Grands Boulevards,Hotel Regina Opera Grands Boulevards
1466,Le Relais M dicis,Le Relais Medicis
1467,AC Hotel Irla a Marriott Lifestyle Hotel,AC Hotel Irla a Marriott Lifestyle Hotel
1481,Le Grand H tel de Normandie,Le Grand Hotel de Normandie
1489,L Edmond H tel,L Edmond Hotel
